executionTs,nombreCandidato,PROFUNDIDAD_1,PROFUNDIDAD_2,PROFUNDIDAD_3,PROFUNDIDAD_4,contabilizadas,totalActas,totalVotosValidos,porcentajeVotosValidos,tipoFiltro,idAmbitoGeografico
2026-06-08T13:44:27.069143+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,SONCHE,2,2,127,47.566,ubigeo_nivel_03,1
2026-06-08T13:44:27.069143+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,SONCHE,2,2,140,52.434,ubigeo_nivel_03,1
2026-06-08T13:44:27.838038+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CONDORCANQUI,,76,174,1038,13.862,ubigeo_nivel_02,1
2026-06-08T13:44:27.838038+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CONDORCANQUI,,76,174,6450,86.138,ubigeo_nivel_02,1
2026-06-08T13:44:28.543615+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CONDORCANQUI,EL CENEPA,0,41,0,0.0,ubigeo_nivel_03,1
2026-06-08T13:44:28.543615+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CONDORCANQUI,EL CENEPA,0,41,0,0.0,ubigeo_nivel_03,1
2026-06-08T13:44:29.216756+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CONDORCANQUI,NIEVA,76,86,1038,13.862,ubigeo_nivel_03,1
2026-06-08T13:44:29.216756+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CONDORCANQUI,NIEVA,76,86,6450,86.138,ubigeo_nivel_03,1
2026-06-08T13:44:29.892093+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CONDORCANQUI,RÍO SANTIAGO,0,47,0,0.0,ubigeo_nivel_03,1
2026-06-08T13:44:29.892093+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CONDORCANQUI,RÍO SANTIAGO,0,47,0,0.0,ubigeo_nivel_03,1
2026-06-08T13:44:30.574035+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,,157,159,9893,42.786,ubigeo_nivel_02,1
2026-06-08T13:44:30.574035+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,,157,159,13229,57.214,ubigeo_nivel_02,1
2026-06-08T13:44:31.228147+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,CAMPORREDONDO,20,20,1109,32.791,ubigeo_nivel_03,1
2026-06-08T13:44:31.228147+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,CAMPORREDONDO,20,20,2273,67.209,ubigeo_nivel_03,1
2026-06-08T13:44:32.904224+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,COCABAMBA,6,7,137,28.661,ubigeo_nivel_03,1
2026-06-08T13:44:32.904224+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,COCABAMBA,6,7,341,71.339,ubigeo_nivel_03,1
2026-06-08T13:44:33.599000+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,COLCAMAR,7,7,578,49.656,ubigeo_nivel_03,1
2026-06-08T13:44:33.599000+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,COLCAMAR,7,7,586,50.344,ubigeo_nivel_03,1
2026-06-08T13:44:34.277656+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,CONILA,6,6,389,37.048,ubigeo_nivel_03,1
2026-06-08T13:44:34.277656+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,CONILA,6,6,661,62.952,ubigeo_nivel_03,1
2026-06-08T13:44:34.994216+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,INGUILPATA,3,3,165,43.883,ubigeo_nivel_03,1
2026-06-08T13:44:34.994216+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,INGUILPATA,3,3,211,56.117,ubigeo_nivel_03,1
2026-06-08T13:44:35.980715+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,LAMUD,7,7,491,44.314,ubigeo_nivel_03,1
2026-06-08T13:44:35.980715+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,LAMUD,7,7,617,55.686,ubigeo_nivel_03,1
2026-06-08T13:44:36.652424+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,LONGUITA,4,4,182,32.042,ubigeo_nivel_03,1
2026-06-08T13:44:36.652424+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,LONGUITA,4,4,386,67.958,ubigeo_nivel_03,1
2026-06-08T13:44:37.310414+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,LONYA CHICO,3,3,204,44.639,ubigeo_nivel_03,1
2026-06-08T13:44:37.310414+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,LONYA CHICO,3,3,253,55.361,ubigeo_nivel_03,1
2026-06-08T13:44:37.978920+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,LUYA,12,12,993,45.26,ubigeo_nivel_03,1
2026-06-08T13:44:37.978920+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,LUYA,12,12,1201,54.74,ubigeo_nivel_03,1
2026-06-08T13:44:38.653126+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,LUYA VIEJO,2,2,108,40.755,ubigeo_nivel_03,1
2026-06-08T13:44:38.653126+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,LUYA VIEJO,2,2,157,59.245,ubigeo_nivel_03,1
2026-06-08T13:44:39.294515+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,MARÍA,3,3,222,42.366,ubigeo_nivel_03,1
2026-06-08T13:44:39.294515+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,MARÍA,3,3,302,57.634,ubigeo_nivel_03,1
2026-06-08T13:44:39.904475+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,OCALLI,11,11,715,39.351,ubigeo_nivel_03,1
2026-06-08T13:44:39.904475+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,OCALLI,11,11,1102,60.649,ubigeo_nivel_03,1
2026-06-08T13:44:41.644115+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,OCUMAL,11,11,815,46.812,ubigeo_nivel_03,1
2026-06-08T13:44:41.644115+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,OCUMAL,11,11,926,53.188,ubigeo_nivel_03,1
2026-06-08T13:44:42.253005+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,PISUQUIA,18,18,764,47.572,ubigeo_nivel_03,1
2026-06-08T13:44:42.253005+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,PISUQUIA,18,18,842,52.428,ubigeo_nivel_03,1
2026-06-08T13:44:43.112299+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,PROVIDENCIA,5,5,135,20.801,ubigeo_nivel_03,1
2026-06-08T13:44:43.112299+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,PROVIDENCIA,5,5,514,79.199,ubigeo_nivel_03,1
2026-06-08T13:44:43.720757+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,SAN CRISTÓBAL,3,3,170,41.975,ubigeo_nivel_03,1
2026-06-08T13:44:43.720757+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,SAN CRISTÓBAL,3,3,235,58.025,ubigeo_nivel_03,1
2026-06-08T13:44:44.339495+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,3,3,170,47.222,ubigeo_nivel_03,1
2026-06-08T13:44:44.339495+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,3,3,190,52.778,ubigeo_nivel_03,1
2026-06-08T13:44:44.985505+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,SAN JERÓNIMO,4,4,303,48.48,ubigeo_nivel_03,1
2026-06-08T13:44:44.985505+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,SAN JERÓNIMO,4,4,322,51.52,ubigeo_nivel_03,1
2026-06-08T13:44:45.646017+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,1,2,61,44.203,ubigeo_nivel_03,1
2026-06-08T13:44:45.646017+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,1,2,77,55.797,ubigeo_nivel_03,1
2026-06-08T13:44:46.355526+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,SANTA CATALINA,7,7,415,41.667,ubigeo_nivel_03,1
2026-06-08T13:44:46.355526+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,SANTA CATALINA,7,7,581,58.333,ubigeo_nivel_03,1
2026-06-08T13:44:47.213826+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,LUYA,SANTO TOMÁS,12,12,674,45.602,ubigeo_nivel_03,1
2026-06-08T13:44:47.213826+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,SANTO TOMÁS,12,12,804,54.398,ubigeo_nivel_03,1
2026-06-08T13:44:47.868820+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,LUYA,TINGO,5,5,454,49.187,ubigeo_nivel_03,1
